id,member_id,member_name,member_level,faction,points,joins,clears
129,983221,Nath,100,~SA~,944335,279,365
130,424299,WindDancer,92,~SA~,662765,259,213
131,85088,Brian,90,~SA~,673622,264,94
132,250998,StickEmUp,100,~SA~,815466,145,58
133,30264,TongLung,95,~SA~,749567,285,294
134,1338102,KarateMan,93,~SA~,466101,54,18
135,1639350,Rockem,92,~SA~,568994,493,396
136,482424,Nabisco,94,~SA~,1036887,602,803
137,1197995,Euthanasia,98,~SA~,576683,57,16
138,621230,MassiveWeapon,97,~SA~,680560,205,183
139,23707,Hate_Train,99,~SA~,1044724,243,234
140,681394,WAGABUND,75,~SA~,532348,50,28
141,1373916,icedogg,90,~SA~,642231,237,294
142,28825,Belgarath,100,~SA~,993653,77,51
143,239119,Veins,96,~SA~,844186,282,80
144,5918,Sephiroth,100,~SA~,1016805,279,300
145,927477,Oh_Dae-su,97,~SA~,782082,333,221
146,1014664,2dogs,99,~SA~,914768,338,296
147,557912,All_in_Ken,100,~SA~,792390,84,157
148,256222,MmM,97,~SA~,700566,232,182
149,226888,snap,100,~SA~,830405,409,244
150,1816368,NNWS,99,~SA~,611220,242,236
151,1469886,Chiubiz,97,~SA~,470282,23,13
152,919365,GreeDy,99,MMCP,443613,152,123
153,332505,Midknight,100,~SA~,1073409,536,976
154,302832,Duk4,51,39X,307375,51,10
155,1542326,Krastinov,100,~SA~,728174,240,322
156,1592807,shak,97,~SA~,722069,219,135
157,1609308,Judea,100,HB1,796324,75,39
158,1611194,Aitch,98,HB1,196655,8,13
159,453122,-Ordinary-,86,~SA~,584973,185,181
160,108922,HT-Supermikk,100,R*1,894401,580,1105
161,1414372,Fortytwo,100,~SA~,674029,190,408
162,424017,Ohadik,99,~SA~,971221,230,307
163,56492,RaNkOr,97,~SA~,675737,210,206
164,220641,Twigman,96,~SA~,721389,174,245
165,710831,Veteran,93,~SA~,813820,195,103
166,1729682,Shady_Lady,96,~SA~,902127,120,29
167,1033180,JS_Rep,95,~SA~,564838,570,377
168,1285682,J-C,36,~SA~,548178,740,74
169,198056,uncle-chu,100,~SA~,505812,260,117
170,1315845,Billiken,97,~SA~,437990,114,78
171,195437,Phatjack,99,EQ3U,212721,43,14
172,487917,herself,91,~SA~,624519,229,219
173,89581,Htr,100,~SA~,1142407,851,663
174,237547,Nobody,94,~SA~,583871,179,44
175,120362,WarAndPeace,86,39th,425957,325,319
176,227744,RumbLE,100,~SA~,873701,141,167
177,2167970,Parrana,14,PT,417,1,0
178,2224343,Flurrik,12,undefined,2242,8,0
179,2074875,Agumon,17,PT,8444,55,0
180,1923620,EZTarget,24,undefined,397,1,0
181,2032152,Fir3,21,undefined,551,5,0
182,16803,General-Snake,30,PT,407,2,0
183,1275538,DuartePT,38,undefined,379,1,0
184,196112,M4iiN3Y,39,PT,370,1,0
185,1810847,An00bis,25,PT,430,2,0
186,2215721,Daemonfyre,15,undefined,362,1,0
187,1844259,powerdrone,30,PT,439,2,0
188,2218426,Ghostfacekilla,15,PT,10357,19,0
189,97130,Maxim,51,undefined,348,1,0
190,1332079,jpcosta,42,PT,334,1,0
191,532872,Bartolo,21,undefined,332,1,0
192,2038423,Leyl,45,undefined,605,3,0
193,722898,Miocas,28,undefined,301,1,0
194,849656,bagger288,61,undefined,512,2,0
195,2195720,Extortion,21,PT,42727,249,4
196,2098306,CazzaB1989,12,undefined,262,1,0
197,714729,Kastro,53,undefined,259,1,0
198,1529508,MihaiCosti,50,PT,342,2,0
199,84161,BlasteR,61,PT,22980,28,0
200,1405969,burglar,21,PT,1939,5,0
201,189303,pacha,64,undefined,302,2,0
202,2073638,ChristinaXP,44,undefined,167,1,0
203,639340,PERESTROIKA,66,PT,622,3,0
204,60666,alguem,100,PT,645797,441,960
205,1833585,DR4ZTIC,72,PT,15480,16,0
206,2224763,Crudak,15,PT,108061,822,1
207,81345,Lost-Soul,65,~OP~,313887,168,43
208,129990,King_David,95,~OP~,818965,248,528
209,1264572,Death,96,~OP~,672867,258,503
210,1618958,Master,91,~OP~,496017,146,290
211,1474240,boonick44,69,~OP~,283881,201,67
212,189986,fazi000000,84,~OP~,342323,69,22
213,1505069,AmberBlue,86,UNT,50616,1,0
